"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00014739","01","    3.39","    14.3","    29.9","    36.8","    23.1"
"USW00014739","02","    3.21","    14.4","    31.8","    39.0","    24.6"
"USW00014739","03","    4.17","     9.0","    38.3","    45.5","    31.1"
"USW00014739","04","    3.63","     1.6","    48.6","    56.4","    40.8"
"USW00014739","05","    3.25","     0.0","    58.4","    66.5","    50.3"
"USW00014739","06","    3.89","     0.0","    68.0","    76.2","    59.7"
"USW00014739","07","    3.27","     0.0","    74.1","    82.1","    66.0"
"USW00014739","08","    3.23","     0.0","    72.7","    80.4","    65.1"
"USW00014739","09","    3.56","     0.0","    65.6","    73.1","    58.2"
"USW00014739","10","    4.03","     0.2","    54.8","    62.1","    47.5"
"USW00014739","11","    3.66","     0.7","    44.7","    51.6","    37.9"
"USW00014739","12","    4.30","     9.0","    35.7","    42.2","    29.2"
